impl,K,threads,n_points,iterations,elapsed_ms,wcss,throughput_pts_sec
serial,8,1,36830903,3,1400.56,1.3130e+03,78891691
openmp,8,4,36830903,3,723.87,1.3130e+03,152641503
serial,8,1,36830903,3,1675.63,1.3130e+03,65941035
openmp,8,1,36830903,3,1330.63,1.3130e+03,83037696
openmp,8,2,36830903,3,771.26,1.3130e+03,143262226
openmp,8,4,36830903,3,709.38,1.3130e+03,155758606
openmp,8,8,36830903,3,527.51,1.3130e+03,209461833
openmp,8,16,36830903,3,407.76,1.3130e+03,270974867
cuda,8,GPU,585694,5,3.13,19.55,0.63,23.31,3.1645e+01,149781973
cuda,8,GPU,702860,10,2.57,34.16,0.74,37.47,2.6686e+01,205756994
cuda,8,GPU,3866226,5,14.44,128.89,3.45,146.78,1.3592e+02,149979926
serial,8,1,1000000,3,53.08,4.0813e+01,56519461
cuda,8,GPU,1000000,10,4.07,39.42,0.94,44.44,4.0813e+01,253674641
openmp,8,1,500000,3,22.05,2.0360e+01,68037720
openmp,8,2,1000000,3,27.67,4.0813e+01,108428106
openmp,8,4,2000000,2,27.44,6.8253e+01,145747981
openmp,8,8,4000000,3,66.50,1.6014e+02,180453160
openmp,8,16,8000000,3,89.90,7.7035e+02,266967789
serial,8,1,36830903,3,1597.31,1.3130e+03,69174338
openmp,8,4,36830903,3,735.58,1.3130e+03,150211466
